student_names,phone_no.,math,physics,chemistry,grade,comment,roll_no.,school_name,student_address
Brittany Miller,9179281427,27,20,65,D,Poor Pursuance,551701,Martin Luther School,"528 Jacobs Lane, Justinland, AK 92378"
Phillip Ray,9928276154,39,91,60,B,Average Performance,504953,Martin Luther School,"90737 Bridges Viaduct, Port Megan, CA 96419"
Thomas Moody,9753972191,86,68,56,B,Average Performance,596580,Martin Luther School,"075 Brock Fields, North Wendymouth, HI 32191"
Karen Bryant,9306907860,18,13,29,F,Failed,578275,Martin Luther School,"PSC 3497, Box 0968, APO AP 75943"
Jaime Huber,9375181787,81,74,30,B,Average Performance,508683,Martin Luther School,"8408 Jackson Passage, Hickschester, FL 62600"
Teresa Larsen,9770352860,73,18,37,D,Poor Pursuance,530635,Martin Luther School,"Unit 2524 Box 0588, DPO AE 35620"
Paul Cordova,9177345915,41,55,67,C,Below Average Achivement,512471,Martin Luther School,"36509 Lisa Green Apt. 816, East Wesley, IL 77936"
James Hill,9524255605,19,82,89,B,Average Performance,523601,Martin Luther School,"468 Michael Mountains, Robertsstad, SC 66420"
Zachary Garcia,9283764286,56,74,93,B+,Good Pursuance,531733,Martin Luther School,"1533 Hardy Point, Jeffreyshire, MS 08997"
Ashley Chen,9088089529,92,42,38,C,Below Average Achivement,575293,Martin Luther School,"1035 Wood Trafficway, North Ambershire, VT 64872"
Karen Wolfe,9452147187,20,40,78,D,Poor Pursuance,574866,Martin Luther School,"168 Alyssa Groves Apt. 071, Port Adam, VA 26036"
Kimberly Fitzgerald,9999367560,93,33,37,C,Below Average Achivement,569547,Martin Luther School,"1413 Brown Walks Apt. 904, Devinbury, IA 52331"
Rebecca Blair,9876817614,69,58,28,C,Below Average Achivement,520235,Martin Luther School,"2641 Romero Crescent, Johnchester, PW 71369"
John Olsen,9107067527,75,16,47,D,Poor Pursuance,541405,Martin Luther School,"135 Franklin Islands, Josephside, AZ 66025"
Mark Miller,9999427228,17,93,63,C,Below Average Achivement,547468,Martin Luther School,"99765 Kenneth Brooks Suite 137, Brownhaven, MP 34087"
Alyssa Douglas,9876419069,74,100,52,B+,Good Pursuance,597470,Martin Luther School,"4373 Chelsea Hollow, Curtisfurt, KY 70209"
Jeffrey Vargas,9699950073,63,38,45,D,Poor Pursuance,530762,Martin Luther School,"3621 Chavez Parkway Apt. 905, Hardyton, NM 79774"
Kerry Thomas,9556211808,38,47,98,B,Average Performance,592817,Martin Luther School,"6183 Jason Streets Suite 327, Lake Rebekahport, HI 51299"
Patricia Wall,9797173891,65,13,12,F,Failed,560249,Martin Luther School,"052 Carrillo Meadow, Connerborough, ME 64310"
James Johnson,9249562173,15,87,64,C,Below Average Achivement,503781,Martin Luther School,"8073 Kiara Stravenue, North Christinemouth, AK 05693"
Michael Black,9896735803,47,38,32,D,Poor Pursuance,585923,Martin Luther School,"9209 Robinson Shore, East William, KY 75123"
Spencer Stout,9745639950,26,61,66,C,Below Average Achivement,596213,Martin Luther School,"05783 Montgomery Points, Millerstad, MS 11228"
Dr. Erica Ford,9023826999,28,52,45,D,Poor Pursuance,535329,Martin Luther School,"507 Jacqueline Heights Suite 312, North Sharon, SC 76133"
Adam Perez,9622996009,56,59,58,C,Below Average Achivement,550501,Martin Luther School,"887 Cervantes Port, Port Kylie, PA 81509"
Kevin Pacheco,9633318119,76,83,86,A,Very Good Achivement,584700,Martin Luther School,"17959 Valerie Center Suite 181, Kaufmanchester, PR 02204"
Tina Mullins,9779915234,73,87,59,B+,Good Pursuance,503275,Martin Luther School,"195 Jones Park Apt. 681, West Linda, VI 20198"
Brenda Zuniga,9682646271,38,16,97,D,Poor Pursuance,513181,Martin Luther School,"926 Francisco Avenue, Esparzaborough, OH 44747"
Keith Parker,9563676684,20,37,56,D,Poor Pursuance,527426,Martin Luther School,"7500 Lee Streets, West Shannonstad, NM 86589"
Michele Lopez,9149081692,88,95,58,B+,Good Pursuance,541060,Martin Luther School,"092 Mclaughlin Cove, Port Sheenaville, NY 50338"
Miss Alicia Goodwin,9996359360,17,14,34,F,Failed,537295,Martin Luther School,"214 Riggs Common Suite 569, New Daisyside, ND 27956"
Dr. Paul Morris,9087682109,22,79,58,C,Below Average Achivement,527718,Martin Luther School,"3705 Jeffrey Cape, South Joshuashire, MI 48937"
Courtney Carlson,9726882929,80,77,26,B,Average Performance,574782,Martin Luther School,"63809 Michael Rapid, Whitneystad, OH 68277"
David Perez,9941339758,63,33,48,D,Poor Pursuance,561165,Martin Luther School,"62719 Henderson Ridges, East Douglas, MO 30050"
Anthony Russell,9418967872,34,91,14,D,Poor Pursuance,536828,Martin Luther School,"0681 Brett Alley, North Feliciaberg, NE 74731"
Rebecca Sheppard,9309118380,55,27,22,D,Poor Pursuance,550723,Martin Luther School,"0279 Thomas Squares, Chaseland, WA 45909"
Tammy Macias,9936144566,100,27,87,B+,Good Pursuance,573006,Martin Luther School,"510 Brown Centers, Jessicamouth, RI 52606"
Monica Miranda,9713359310,38,37,22,F,Failed,551660,Martin Luther School,"Unit 4128 Box 4264, DPO AP 86739"
Anthony Chavez,9703174129,12,82,79,C,Below Average Achivement,532820,Martin Luther School,"2184 Ellis Heights Suite 609, West Ruthland, AL 13490"
John Garcia,9752537644,95,47,54,B,Average Performance,562473,Martin Luther School,"57193 Alexis Turnpike, Sharontown, LA 62326"
Alexis Jones,9283124278,52,92,44,B,Average Performance,530841,Martin Luther School,"1913 Weaver Trafficway, Lake Lauren, FL 52429"
Mary Barron,9010621051,46,49,95,B,Average Performance,517591,Martin Luther School,"USCGC Lee, FPO AP 87266"
Mr. John Clark,9996003794,29,51,92,C,Below Average Achivement,506427,Martin Luther School,"98422 Jennifer Fields Apt. 826, Adamhaven, TX 66227"
Michael Ferguson,9249361140,79,12,68,C,Below Average Achivement,589024,Martin Luther School,"2227 Brittany Neck, New Kenneth, FM 11455"
Lauren Schultz,9862221434,76,45,60,C,Below Average Achivement,523822,Martin Luther School,"301 Alexander Isle Suite 853, Lake Scott, NV 42634"
Kristina Frey,9249251277,75,84,55,B+,Good Pursuance,557713,Martin Luther School,"USCGC Morales, FPO AP 72567"
Lori Ross,9126511811,36,61,36,D,Poor Pursuance,553422,Martin Luther School,"88349 Daniel Ways, East Steve, WA 70514"
Erin Giles,9519920682,34,13,52,D,Poor Pursuance,542423,Martin Luther School,"285 Bennett Expressway Apt. 924, Brentbury, MH 97405"
Kelly Campbell,9794111611,65,62,61,B,Average Performance,577131,Martin Luther School,"4724 Cruz Islands Suite 313, Jamesside, MS 03863"
Ryan Reed,9278010518,63,75,56,B,Average Performance,516723,Martin Luther School,"331 Curry Roads, Lake Kayla, TX 25446"
Brian Booth,9944111643,80,61,95,B+,Good Pursuance,523946,Martin Luther School,"488 Barbara Garden, Davisberg, VT 04078"
Derrick Hancock,9670449240,23,26,24,F,Failed,541904,Martin Luther School,"434 Emily Circle, Christopherland, NJ 63483"
Shannon Moreno,9047334709,40,22,88,D,Poor Pursuance,542613,Martin Luther School,"520 Margaret Spur Apt. 331, Lake Roy, LA 06929"
Jodi Saunders,9834564937,58,87,37,C,Below Average Achivement,523899,Martin Luther School,"77360 Franco Viaduct, Lewisport, NC 94048"
Elizabeth Cochran,9185475195,21,49,93,C,Below Average Achivement,520399,Martin Luther School,"242 Ricardo Knoll, North Madison, OR 92329"
Dennis Zavala,9242696100,84,31,82,B,Average Performance,510501,Martin Luther School,"348 Cassie Cape, West Jamesville, NH 46855"
Mary Hall,9254574826,11,58,82,D,Poor Pursuance,553709,Martin Luther School,"78266 Shane Field, North Jasonside, TN 13573"
Carol Thompson,9773489215,55,41,40,D,Poor Pursuance,513998,Martin Luther School,"7946 Cassandra Row Apt. 200, Williambury, IA 82908"
Caitlin Coleman,9101413294,36,27,73,D,Poor Pursuance,555881,Martin Luther School,"14527 Pugh Point, Robertsburgh, WI 41921"
David Gray,9671683053,48,54,29,D,Poor Pursuance,526942,Martin Luther School,"867 Christy Tunnel, East Colin, NH 34682"
David Hernandez,9755035135,95,12,44,D,Poor Pursuance,554087,Martin Luther School,"350 Haley Wall Suite 128, East Brendabury, GA 49912"
Sandra Macdonald,9267664183,54,35,16,D,Poor Pursuance,590841,Martin Luther School,"787 Castillo Pass, Port Douglas, VA 55516"
Laurie Mercer,9813229470,32,34,87,C,Below Average Achivement,599023,Martin Luther School,"56592 Sherry Corner, Williamsonmouth, AL 40891"
Kimberly Davis,9732214224,53,85,51,B,Average Performance,576132,Martin Luther School,"68482 David Flat, Port Douglasport, GA 59700"
Cameron Cardenas,9803495706,80,99,30,B,Average Performance,536841,Martin Luther School,"858 Judy Stravenue, West Angelafurt, PR 80072"
Christina Edwards,9038163364,89,43,59,B,Average Performance,512411,Martin Luther School,"704 John Flat Suite 257, Williamschester, SC 32503"
Sharon Young,9943714825,78,22,49,D,Poor Pursuance,516142,Martin Luther School,"82815 Nelson Forges, Richardsonfurt, CA 92460"
Phillip Moyer,9251787148,34,30,76,D,Poor Pursuance,587439,Martin Luther School,"Unit 0744 Box 8318, DPO AE 62105"
Andrew Arias,9520582381,75,22,55,D,Poor Pursuance,566129,Martin Luther School,"354 Cassandra Parkways, Martinville, OR 74174"
Jonathan Wilson,9463928960,75,21,29,D,Poor Pursuance,511482,Martin Luther School,"76728 Ryan Row, Hallview, DE 37232"
Jaime Robinson,9268350058,13,11,34,F,Failed,505068,Martin Luther School,"152 Kevin Villages Suite 130, Blairborough, OK 26753"
Shannon Hunter,9272414800,28,37,71,D,Poor Pursuance,538092,Martin Luther School,"20266 Tran Rest Apt. 738, South Tristanside, NH 41442"
Amy Pena,9712093289,61,13,78,D,Poor Pursuance,539597,Martin Luther School,"113 Stephanie Mall, Carterland, CT 39661"
Thomas Morris,9199831308,49,87,58,B,Average Performance,565140,Martin Luther School,"158 Miller Neck, Abigailland, FM 13566"
Erica Young,9728997282,39,74,50,C,Below Average Achivement,549307,Martin Luther School,"475 Farmer Union Suite 827, Lake Brandonfurt, TN 27712"
William Hernandez,9641091102,78,92,23,B,Average Performance,524919,Martin Luther School,"27045 Hurley Divide Suite 632, Loveshire, PW 36532"
Todd Snow,9525742461,38,70,34,D,Poor Pursuance,516944,Martin Luther School,"USNS Singh, FPO AP 36813"
Morgan Allen,9612484437,85,96,87,A,Very Good Achivement,566723,Martin Luther School,"2645 Joseph Views, Juliamouth, WY 93593"
Samuel Gomez,9790802038,33,42,93,C,Below Average Achivement,547674,Martin Luther School,"0691 Williams Plaza Apt. 220, North Melanieshire, CT 20341"
Logan Pugh,9684185227,19,79,50,D,Poor Pursuance,583269,Martin Luther School,"9236 Ryan Streets Suite 431, Paulburgh, TX 13789"
Laura Stewart,9577245356,91,67,28,B,Average Performance,520494,Martin Luther School,"986 Valencia Lane, Wadefurt, AZ 26748"
Paul Sullivan,9368038769,93,57,55,B,Average Performance,580321,Martin Luther School,"9101 Cooper Radial Suite 286, Christopherton, CT 71104"
Shelly Carlson,9649448686,83,44,88,B+,Good Pursuance,554885,Martin Luther School,"004 William Locks Apt. 661, Lake Tony, WI 79132"
Charles Bernard,9849097818,71,33,30,D,Poor Pursuance,570580,Martin Luther School,"85570 Jennifer Station Suite 630, Sethland, IL 48257"
Timothy Dixon,9131191222,59,22,60,D,Poor Pursuance,549572,Martin Luther School,"0777 Stewart Estates Suite 439, West Michael, WV 82027"
Jason Ramos,9551249975,73,34,61,C,Below Average Achivement,591571,Martin Luther School,"2219 Bray Springs Apt. 397, West Alejandrohaven, KY 40296"
Derrick Mitchell,9435871824,99,26,91,B+,Good Pursuance,568240,Martin Luther School,"652 Nicole Radial, Port Tracychester, FM 54648"
Alicia Bush,9472592269,84,65,80,B+,Good Pursuance,506758,Martin Luther School,"Unit 2719 Box 0022, DPO AE 01829"
Christine Robinson,9044345489,14,50,94,C,Below Average Achivement,551829,Martin Luther School,"442 Deleon Isle, North Natalieshire, CA 97516"
Daniel Reilly,9359839413,87,92,85,A,Very Good Achivement,572217,Martin Luther School,"01717 Tiffany Causeway, Shawnland, SD 35502"
Jennifer Whitaker,9344407371,41,67,17,D,Poor Pursuance,571283,Martin Luther School,"781 Amanda Centers, New Ryantown, AK 08478"
Charles James,9486378615,61,72,17,D,Poor Pursuance,502221,Martin Luther School,"82858 Burgess Trail, Port Crystal, NC 89001"
Zachary Ramirez,9843898438,75,76,91,B+,Good Pursuance,514040,Martin Luther School,"USCGC Ritter, FPO AP 88634"
Deanna Ware,9914959175,43,13,41,F,Failed,542733,Martin Luther School,"348 Michael Extension Suite 348, West Brandon, NV 59198"
Colton Wise,9963273258,49,78,46,C,Below Average Achivement,527780,Martin Luther School,"33755 Brandon Forks, Garrisonshire, FL 24335"
Ariel Castro,9685346743,70,78,13,C,Below Average Achivement,562543,Martin Luther School,"6572 Adams Village Suite 273, North Jonathan, CO 37956"
Kristin Jones,9638687178,16,32,63,D,Poor Pursuance,521205,Martin Luther School,"620 Garcia Light Suite 813, East Tammyside, MD 42983"
Lisa Carpenter,9137046696,73,84,25,C,Below Average Achivement,590160,Martin Luther School,"22555 Miles Spurs, Millerfurt, IN 40491"
Emily Mullen,9869543090,49,76,77,B,Average Performance,535844,Martin Luther School,"82656 Watts Parkways, North Allison, CA 73984"
Nathan Robinson,9036055831,82,41,44,C,Below Average Achivement,526589,Martin Luther School,"2807 Payne Centers Suite 324, Port Erinberg, MN 46137"
Brandon Berry,9243479128,69,44,95,B,Average Performance,522499,Martin Luther School,"465 Bradley Road Suite 653, Lake Michael, MD 65708"
Stephen Mitchell,9933125496,25,79,51,C,Below Average Achivement,507740,Martin Luther School,"306 James Isle Suite 071, Robertport, VI 94849"
Gina Cochran,9169532453,46,11,34,F,Failed,580910,Martin Luther School,"55498 Jennifer Grove, Lake Meganville, TN 04688"
Mr. Daniel Smith,9994026649,14,47,14,F,Failed,503562,Martin Luther School,"Unit 2248 Box 5828, DPO AP 70430"
Jamie Barron,9766517292,23,58,95,C,Below Average Achivement,543788,Martin Luther School,"1744 Stephanie Crescent Apt. 020, North Briannaside, SC 96412"
Jacob Jones,9117562258,64,12,72,D,Poor Pursuance,555918,Martin Luther School,"634 Parker Branch Apt. 004, Courtneyland, NH 41510"
Jason Nichols,9029126000,51,60,79,B,Average Performance,536852,Martin Luther School,"615 Russell Ways, Bentontown, KY 05151"
Daniel Randolph,9097412300,50,90,86,B+,Good Pursuance,523484,Martin Luther School,"977 Wright Ridge, Theresatown, WI 56910"
Vincent Taylor,9477344472,89,19,28,D,Poor Pursuance,564538,Martin Luther School,"0713 Nathan Ferry, Lake Todd, MI 57669"
Mr. Jonathon Ross,9277353599,80,48,50,C,Below Average Achivement,540112,Martin Luther School,"06350 James Court, Andrewville, AS 97063"
Timothy Duran,9431730469,93,89,97,A+,Excellent Performance,502291,Martin Luther School,"9846 Nguyen Via, Moralesbury, NV 83999"
Mary Jordan,9818085896,40,73,71,B,Average Performance,517754,Martin Luther School,"USNV Boyd, FPO AP 08299"
Jonathan Shields,9848998634,79,60,86,B+,Good Pursuance,540733,Martin Luther School,"8572 Wagner Springs, Perryland, NM 12048"
Richard Forbes,9860634865,73,65,54,B,Average Performance,523332,Martin Luther School,"5765 Bonnie Prairie Apt. 752, South Kimberlyside, DE 22077"
Katherine Brown,9519009145,74,49,79,B,Average Performance,575329,Martin Luther School,"79488 Cunningham Cliff Apt. 107, Port Jennifer, OH 97206"
Timothy Riley,9511797864,92,44,31,C,Below Average Achivement,535081,Martin Luther School,"1661 Lucas Overpass, North Adamview, GU 75617"
James Floyd,9412458993,88,17,93,B,Average Performance,570727,Martin Luther School,"88492 Ford Spurs Suite 744, Brianhaven, KS 50633"
Donna Hayes,9119036356,17,87,56,C,Below Average Achivement,502107,Martin Luther School,"41527 Thomas Forks Apt. 052, East Robert, OH 10456"
Meghan Gonzalez,9349192251,23,91,80,B,Average Performance,571786,Martin Luther School,"65161 Brown Canyon Suite 999, South Lisa, ID 07266"
Julia Harper,9620305987,65,72,21,C,Below Average Achivement,523210,Martin Luther School,"141 Green Heights, New Ruben, FM 88513"
Andrew Oconnor,9058423294,96,58,95,A,Very Good Achivement,526360,Martin Luther School,"34055 Evans Camp, Edwardport, MT 52787"
Molly Palmer,9723750184,74,71,21,C,Below Average Achivement,565119,Martin Luther School,"9754 Garcia Lakes, New Jennifer, WA 58595"
Diana Luna,9506084227,19,69,83,C,Below Average Achivement,571145,Martin Luther School,"94059 Lauren Unions, Lake Gabrielletown, AK 73573"
Mr. Andrew Mcmahon,9689273510,47,41,24,D,Poor Pursuance,530853,Martin Luther School,"609 Angie Place Suite 046, Jeremyview, VT 09044"
Amy Edwards,9430725623,48,59,17,D,Poor Pursuance,581832,Martin Luther School,"76946 Peters Forks Apt. 615, Lake Chelsea, HI 28872"
Joshua Zhang,9057541150,54,77,54,B,Average Performance,579357,Martin Luther School,"PSC 8279, Box 9101, APO AE 38957"
Eric Wood,9451574697,90,98,81,A,Very Good Achivement,571770,Martin Luther School,"43230 Stephanie Manor, Lake Shawna, MP 83097"
Hunter Cunningham,9600368735,80,20,33,D,Poor Pursuance,564170,Martin Luther School,"1135 Drew Hollow Suite 192, Castrofort, IA 01590"
Lindsay Hunt,9644669408,40,25,93,C,Below Average Achivement,524087,Martin Luther School,"79518 Morgan Alley, Brownshire, FM 84878"
Trevor Tate,9053551917,91,64,82,B+,Good Pursuance,594932,Martin Luther School,"765 Lara Branch Apt. 071, North Amandatown, RI 73413"
Rebekah Guerrero,9321301333,63,95,100,A,Very Good Achivement,560076,Martin Luther School,"169 Kelsey Fords Suite 896, Faulknermouth, MP 20742"
Michelle Payne,9386970824,88,38,66,B,Average Performance,540124,Martin Luther School,"924 Jeffrey Path, Richardfurt, LA 95526"
Jesse Rubio,9288345108,92,35,72,B,Average Performance,538050,Martin Luther School,"USS Perez, FPO AP 23265"
Angela Flores,9082604719,59,49,22,D,Poor Pursuance,570721,Martin Luther School,"89094 Derek Inlet Suite 094, Port Karlaville, PA 48254"
Troy Anderson DDS,9115235095,64,30,53,D,Poor Pursuance,568612,Martin Luther School,"USS Foster, FPO AE 19023"
Sabrina Henderson,9765440853,49,92,73,B+,Good Pursuance,504903,Martin Luther School,"94755 Meza Wall, Wendystad, OH 02895"
Jason Monroe,9562570188,57,48,21,D,Poor Pursuance,521393,Martin Luther School,"164 Wilson Fords, North Michaelland, MH 94874"
Dylan James,9044824500,42,10,32,F,Failed,567553,Martin Luther School,"20513 Lester Dam Suite 821, Brownland, ND 63113"
Valerie Tucker,9543445576,69,51,93,B+,Good Pursuance,535609,Martin Luther School,"38685 Berger Avenue, South Victoriaberg, MS 42681"
Jennifer Mendoza,9501399187,85,10,41,D,Poor Pursuance,583822,Martin Luther School,"50985 Brian Course Apt. 024, Flynnton, ME 64611"
Megan Casey,9121552246,84,73,37,B,Average Performance,578943,Martin Luther School,"31576 White Circles Apt. 024, South Aprilchester, ND 70300"
Thomas Morse,9267798922,20,47,46,D,Poor Pursuance,559732,Martin Luther School,"2355 Sarah Forks Suite 047, West Amandaview, TX 20616"
Eric Rogers,9383956245,12,67,21,D,Poor Pursuance,548365,Martin Luther School,"19366 Rachel Stravenue Suite 727, New Kelly, VT 58170"
Lisa Schmidt,9109659042,69,35,89,B,Average Performance,542647,Martin Luther School,"7497 Vincent Village, Michellechester, PR 02918"
Katherine Morton,9740047134,10,94,74,C,Below Average Achivement,525501,Martin Luther School,"32671 Carpenter Rapids, Lake Robin, DC 22462"
Heather Fitzpatrick,9490541922,53,41,74,C,Below Average Achivement,502677,Martin Luther School,"USS Davis, FPO AE 02032"
William Walters,9470768606,82,31,73,B,Average Performance,535289,Martin Luther School,"7825 Young Prairie, Jacobstad, NH 16818"
Annette Smith,9572263732,89,51,50,B,Average Performance,524448,Martin Luther School,"USCGC Rush, FPO AP 46875"
Justin Curtis,9670558025,23,51,10,F,Failed,591056,Martin Luther School,"17595 Gregory Road Suite 912, West Paulberg, UT 57097"
Caitlin Wood,9268964113,85,63,18,C,Below Average Achivement,563931,Martin Luther School,"4124 Mike Shore Suite 311, Lisaberg, SD 78014"
Kristin Davis,9436495790,78,84,86,A,Very Good Achivement,544803,Martin Luther School,"321 Allison Tunnel, West Jesse, VI 72169"
Joseph Williams,9839174841,38,75,54,C,Below Average Achivement,517819,Martin Luther School,"978 Virginia Mountains Apt. 859, Lindseyshire, AR 92814"
Nicole Lewis,9936944926,17,14,10,F,Failed,590570,Martin Luther School,"USCGC Anderson, FPO AE 78602"
Alex Gordon,9765725922,93,66,36,B,Average Performance,579565,Martin Luther School,"0524 Ann Port Apt. 269, Garciafort, ID 93294"
Molly Rice,9951479089,54,73,47,C,Below Average Achivement,515464,Martin Luther School,"16767 Wilson Wells Suite 138, Ryanfort, NE 01083"
Colleen Johnson,9253099192,41,48,98,B,Average Performance,519947,Martin Luther School,"31827 Ryan Trail, Nelsonbury, IL 70753"
Thomas Carr,9066544690,62,32,83,C,Below Average Achivement,576821,Martin Luther School,"3624 Molly Burgs, North Chadfort, VT 50456"
Brian Craig,9930374715,63,84,25,C,Below Average Achivement,524470,Martin Luther School,"03678 Erica Pine Suite 770, West Brittanyview, KS 27731"
Lori Harris,9409794138,48,19,36,D,Poor Pursuance,514680,Martin Luther School,"960 Christina Street, Markville, IN 07277"
Carla Stark,9463425867,88,65,30,B,Average Performance,572755,Martin Luther School,"023 Baker Shores Suite 187, North Donna, MH 46474"
Michelle Patterson,9074998800,90,38,20,D,Poor Pursuance,574845,Martin Luther School,"697 Jessica Stravenue Suite 181, Lewisburgh, MP 37847"
Sandra Stevens,9346206759,52,74,15,D,Poor Pursuance,587743,Martin Luther School,"97773 Glover Canyon Suite 398, Hahnstad, MA 12043"
Jerome Martin MD,9004026537,60,73,96,B+,Good Pursuance,585847,Martin Luther School,"40528 Stacey Roads, Stoutview, TX 47171"
Jasmine Rodgers,9894709634,18,98,26,D,Poor Pursuance,518739,Martin Luther School,"992 Eric Unions, Gomezville, TX 24715"
Lori Bailey,9390349479,55,35,18,D,Poor Pursuance,503252,Martin Luther School,"500 Zimmerman Falls Apt. 546, Lake Brett, CT 41309"
John Green,9095927351,23,27,54,D,Poor Pursuance,522815,Martin Luther School,"86102 Bell Lights, Harrisland, ME 26564"
Timothy Johnson,9118215579,29,98,52,C,Below Average Achivement,572960,Martin Luther School,"79285 Hayes Keys Suite 327, Port Nicoleland, HI 14673"
Karen Flowers,9647675113,92,21,32,D,Poor Pursuance,556727,Martin Luther School,"28716 Rhonda Stravenue Suite 916, New William, LA 63340"
Denise Lewis,9584654291,47,23,33,D,Poor Pursuance,599818,Martin Luther School,"167 David Knoll, Nicolefurt, IN 65382"
Alexandra Patterson,9430891419,69,26,73,C,Below Average Achivement,537753,Martin Luther School,"USS Anderson, FPO AA 79323"
Chris White,9227157218,87,21,18,D,Poor Pursuance,586398,Martin Luther School,"38296 Rachel Courts, New Maryshire, TN 66613"
Frank Barajas,9593710199,91,72,61,B+,Good Pursuance,520352,Martin Luther School,"Unit 1351 Box 3180, DPO AP 24243"
Christian Shaw,9757126885,98,94,55,A,Very Good Achivement,538713,Martin Luther School,"86546 Craig Ports, West Joshuaport, IA 47022"
