student_id,full_name,date_of_birth,grade_level,emergency_contact,age,attendance_rate,hw_done_rate,avg_score,stress_level_x,anxiety_score_x,depression_score_x,sentiment_score_x,sleep_hours_x,msg_count,last_contact,stress_level_y,anxiety_score_y,depression_score_y,sentiment_score_y,sleep_hours_y
S00069,william ford,2011-03-11,Grade 5,677-294-1469x96297,14.0,0.0,0.0,46.0,,,,,,,,,,,,
S00070,Martin Bennett MD,,Grade 1,447-214-4052,13.0,0.0,1.0,91.0,,,,,,,,,,,,
S00071,Madison Ellis,2012-06-16,Grade 4,929-669-3154,13.0,1.0,1.0,70.0,,,,,,,,,,,,
S00072,Dean Cook,2014-11-04,Grade 4,001-758-844-1898,11.0,0.0,1.0,42.0,,,,,,,,,,,,
S00073,Christopher Salinas,2011-01-04,Grade 5,+1-345-573-1319x25182,14.0,0.0,1.0,95.0,,,,,,,,,,,,
S00074,Mr. Mark Erickson,2017-03-14,Grade 4,(830)226-4434x860,8.0,1.0,1.0,70.0,,,,,,,,,,,,
S00075,Jasmine Allen,2017-10-12,Grade 1,2018302268,8.0,0.0,1.0,81.0,,,,,,,,,,,,
S00076,robert martin,2013-06-28,Grade 1,583-732-3507,12.0,0.0,1.0,70.0,,,,,,,,,,,,
S00077,Amanda Perry,,Grade 2,661-265-1096,13.0,0.0,1.0,61.0,,,,,,,,,,,,
S00078,Brian Sims,2012-02-11,Grade 3,+1-645-569-2056,13.0,0.0,0.0,82.0,,,,,,,,,,,,
S00079,Krista Martinez,2008-05-03,Grade 2,281.813.2086x65169,17.0,0.0,0.0,60.0,,,,,,,,,,,,
S00080,Aaron Baldwin,2013-04-26,Grade 4,805-939-0145,12.0,0.0,1.0,58.0,,,,,,,,,,,,
S00081,John Underwood,2013-05-01,Grade 1,+1-547-943-4476,12.0,1.0,0.0,86.0,,,,,,,,,,,,
S00082,Shawn Martin,2016-10-12,Grade 4,735-761-2346x7222,9.0,1.0,1.0,63.0,,,,,,,,,,,,
S00083,Michael Harrison,2017-07-21,Grade 3,212-346-7556x883,8.0,0.0,1.0,82.0,,,,,,,,,,,,
S00084,wanda eaton,2012-09-14,Grade 4,(920)333-9999x29113,13.0,0.0,1.0,79.0,,,,,,,,,,,,
S00085,Taylor Juarez,2018-06-07,Grade 2,(823)791-7451x6613,7.0,0.0,0.0,44.0,,,,,,,,,,,,
S00086,Michael Lee,,Grade 3,001-577-831-6105x317,13.0,0.0,1.0,67.0,,,,,,,,,,,,
S00087,Beth Mendoza,2012-01-18,Grade 3,887.394.4200,13.0,0.0,0.0,70.0,,,,,,,,,,,,
S00088,Michele James,,Grade 5,+1-642-207-7825x9469,13.0,0.0,0.0,70.0,,,,,,,,,,,,
S00089,Noah Dougherty,2006-06-02,Grade 5,(859)255-3549x677,19.0,0.0,1.0,46.0,,,,,,,,,,,,
S00090,David Downs,2011-11-26,Grade 2,001-922-813-4880,13.0,0.0,0.0,94.0,,,,,,,,,,,,
S00091,Mary Williams,2014-10-19,Grade 3,(860)760-0220x9569,11.0,1.0,0.0,78.0,,,,,,,,,,,,
S00092,Jason Parker,,Grade 3,5635730168,13.0,0.0,0.0,95.0,,,,,,,,,,,,
S00093,robert stewart,2009-06-30,Grade 1,+1-477-789-7616x158,16.0,0.0,0.0,63.0,,,,,,,,,,,,
S00094,paul ortega,2013-02-15,Grade 2,(999)431-7914,12.0,0.0,0.0,99.0,,,,,,,,,,,,
S00095,George Williams,2008-09-01,Grade 2,+1-401-399-8240x5936,17.0,0.0,0.0,98.0,,,,,,,,,,,,
S00096,Dawn Hall,2007-05-21,Grade 4,+1-795-792-4545,18.0,0.0,1.0,70.0,,,,,,,,,,,,
S00097,Tyler Schroeder,2009-03-25,Grade 5,+1-314-761-8012x48970,16.0,0.0,0.0,49.0,,,,,,,,,,,,
S00098,Courtney Taylor,2006-06-03,Grade 3,258-779-3223x424,19.0,0.0,0.0,93.0,,,,,,,,,,,,
S00099,Jason George,2011-06-04,Grade 2,unknown,14.0,0.0,1.0,46.0,,,,,,,,,,,,
S00100,Anthony Villarreal,2016-04-12,Grade 3,(935)617-3478x6764,9.0,0.0,0.0,70.0,,,,,,,,,,,,
S00101,William Mitchell,2008-11-06,Grade 5,749.923.7131x37550,17.0,0.0,0.0,99.0,,,,,,,,,,,,
S00102,Stacey Ramos,2011-06-11,Grade 4,764.975.1451,14.0,0.0,0.0,52.0,,,,,,,,,,,,
S00103,Jacqueline Richard,2010-10-19,Grade 5,+1-744-926-8903,15.0,0.0,1.0,72.0,,,,,,,,,,,,
S00104,Allison Flores,2014-10-06,Grade 3,7568298027,11.0,0.0,1.0,70.0,,,,,,,,,,,,
S00105,John Singleton,2008-07-21,Grade 3,559-603-6410,17.0,0.0,1.0,78.0,,,,,,,,,,,,
S00106,Matthew Chandler,2006-12-29,Grade 1,(779)498-1573,18.0,0.0,1.0,97.0,,,,,,,,,,,,
S00107,Brian Ferguson,2017-01-13,Grade 3,+1-259-851-3309x68675,8.0,0.0,1.0,70.0,,,,,,,,,,,,
S00108,James Orozco,,Grade 5,774-779-6874x1712,13.0,0.0,0.0,70.0,,,,,,,,,,,,
S00109,Sandy Lee,2017-09-28,Grade 1,+1-464-608-0980x749,8.0,0.0,0.0,87.0,,,,,,,,,,,,
S00110,Scott Perez,2007-04-19,Grade 5,(948)628-8304x11021,18.0,0.0,1.0,97.0,,,,,,,,,,,,
S00111,Dylan Jones,2009-10-01,Grade 1,813-751-1036,16.0,1.0,1.0,70.0,,,,,,,,,,,,
S00112,Barbara Taylor,2015-10-26,Grade 5,unknown,10.0,1.0,0.0,60.0,,,,,,,,,,,,
S00113,Brandon Garcia,2006-08-15,Grade 2,+1-541-463-4530x74598,19.0,0.0,1.0,40.0,,,,,,,,,,,,
S00114,Kathryn Wilson,2009-08-02,Grade 2,(302)366-6634,16.0,0.0,0.0,70.0,,,,,,,,,,,,
S00115,Brian Lowe,2007-10-29,Grade 3,222.761.3749x29075,18.0,0.0,1.0,61.0,,,,,,,,,,,,
S00116,Julie Schneider,2016-07-12,Grade 1,625.450.0857,9.0,0.0,1.0,44.0,,,,,,,,,,,,
S00117,Julie Bush,2014-07-26,Grade 5,726.427.4243x66185,11.0,0.0,1.0,56.0,,,,,,,,,,,,
S00118,Ellen Carter,2016-05-31,Grade 3,8367972128,9.0,1.0,0.0,70.0,,,,,,,,,,,,
S00119,Kimberly Ryan,2007-02-20,Grade 1,unknown,18.0,0.0,1.0,54.0,,,,,,,,,,,,
S00120,Paul Ramos,2018-09-25,Grade 1,+1-453-850-8972x4586,7.0,1.0,1.0,46.0,,,,,,,,,,,,
S00121,Benjamin Martin,2012-03-27,Grade 4,680.867.6297x1013,13.0,0.0,1.0,90.0,,,,,,,,,,,,
S00122,kristine johnston,,Grade 4,+1-792-896-7675x900,13.0,0.0,0.0,41.0,,,,,,,,,,,,
S00123,Elizabeth Morales,2018-03-18,Grade 2,(957)807-3322x9791,7.0,0.0,0.0,60.0,,,,,,,,,,,,
S00124,Glenn Alexander,2015-10-31,Grade 5,749-446-5768x5902,10.0,1.0,0.0,70.0,,,,,,,,,,,,
S00125,Charles Guerrero,,Grade 5,(866)688-9369,13.0,0.0,1.0,60.0,,,,,,,,,,,,
S00126,Jeremy Rhodes,2011-03-05,Grade 3,716-750-8815,14.0,1.0,0.0,58.0,,,,,,,,,,,,
S00127,Denise Evans,2010-06-23,Grade 3,649.801.9380,15.0,0.0,1.0,79.0,,,,,,,,,,,,
S00128,Dr. Jamie Stewart,2007-04-14,Grade 3,+1-310-426-3533x5178,18.0,0.0,0.0,80.0,,,,,,,,,,,,
S00129,Anthony White,2017-01-30,Grade 2,774-490-1258,8.0,0.0,0.0,41.0,,,,,,,,,,,,
S00130,Eduardo Miranda,2012-06-30,Grade 1,990.638.5401x29299,13.0,0.0,1.0,92.0,,,,,,,,,,,,
S00131,Gregory Schroeder,2013-04-05,Grade 3,unknown,12.0,0.0,1.0,100.0,,,,,,,,,,,,
S00132,Jeremiah Frank,2015-11-30,Grade 1,+1-446-493-5059x44155,9.0,0.0,1.0,46.0,,,,,,,,,,,,
S00133,Kathy Jordan,2016-06-09,Grade 4,682.965.6945x6002,9.0,0.0,0.0,70.0,,,,,,,,,,,,
S00134,Brett Knight,2018-06-20,Grade 4,972-273-5638,7.0,1.0,1.0,90.0,,,,,,,,,,,,
S00135,Traci Johnson,2007-07-28,Grade 1,6562939872,18.0,0.0,1.0,87.0,,,,,,,,,,,,
S00136,Mr. John Salas,2016-04-18,Grade 2,001-556-620-3226x8281,9.0,1.0,1.0,43.0,,,,,,,,,,,,
S00137,Cory Garcia,2011-09-12,Grade 4,9676379410,14.0,1.0,0.0,50.0,,,,,,,,,,,,
S00138,michael mccall,2017-07-17,Grade 2,653.629.8453,8.0,0.0,0.0,72.0,,,,,,,,,,,,
S00139,Jeffrey Pace,2014-04-17,Grade 5,854.241.8982,11.0,0.0,0.0,95.0,,,,,,,,,,,,
S00140,Joshua Smith,2007-06-01,Grade 3,001-741-649-2163x714,18.0,0.0,1.0,50.0,,,,,,,,,,,,
S00141,mary mccullough dds,2006-06-19,Grade 5,001-716-752-5816x998,19.0,0.0,1.0,44.0,,,,,,,,,,,,
S00142,Brian Phillips,2009-10-04,Grade 5,(874)461-7223x9991,16.0,0.0,1.0,46.0,,,,,,,,,,,,
S00143,cynthia macdonald,2008-06-12,Grade 3,916-372-4695x15443,17.0,0.0,0.0,46.0,,,,,,,,,,,,
S00144,Dylan Riddle,2016-05-16,Grade 5,+1-280-383-2852x122,9.0,0.0,0.0,61.0,,,,,,,,,,,,
S00145,Bonnie Mitchell,2017-05-12,Grade 3,387-490-6820,8.0,0.0,1.0,78.0,,,,,,,,,,,,
S00146,Kaylee Stewart,,Grade 1,774-946-3285x062,13.0,0.0,1.0,89.0,,,,,,,,,,,,
S00147,Kimberly Williams,2009-01-11,Grade 2,6567747324,16.0,1.0,1.0,63.0,,,,,,,,,,,,
S00148,travis moreno,2015-05-13,Grade 5,+1-568-423-9707x37227,10.0,0.0,1.0,85.0,,,,,,,,,,,,
S00149,Nicholas Pope,2015-08-06,Grade 3,(831)807-6360,10.0,0.0,1.0,57.0,,,,,,,,,,,,
S00150,William Griffin,2015-06-09,Grade 5,unknown,10.0,1.0,0.0,72.0,,,,,,,,,,,,
S00151,Kenneth Mccormick,,Grade 1,+1-957-745-9765x55393,13.0,0.0,1.0,70.0,,,,,,,,,,,,
S00152,Hannah Baker,2017-12-30,Grade 5,753.218.2172x24296,7.0,0.0,0.0,40.0,,,,,,,,,,,,
S00153,Megan Noble,2014-07-06,Grade 2,001-381-959-6172x50580,11.0,0.0,0.0,62.0,,,,,,,,,,,,
S00154,Chris Robles,,Grade 4,001-287-237-5597x080,13.0,0.0,0.0,77.0,,,,,,,,,,,,
S00155,Sean Baker,2006-06-04,Grade 3,+1-787-416-9684x743,19.0,0.0,1.0,79.0,,,,,,,,,,,,
S00156,Joy Wilkins,2010-01-03,Grade 4,526-468-0151,15.0,0.0,1.0,70.0,,,,,,,,,,,,
S00157,Derrick Hall,2011-12-14,Grade 3,(310)810-9893,13.0,0.0,1.0,49.0,,,,,,,,,,,,
S00158,jordan compton,2017-08-18,Grade 3,665-811-6217x4175,8.0,0.0,1.0,94.0,,,,,,,,,,,,
S00159,Erika Johnson,2013-03-19,Grade 1,+1-959-683-5469,12.0,0.0,0.0,94.0,,,,,,,,,,,,
S00160,Robert Gibson,2017-02-22,Grade 5,(933)503-5929,8.0,0.0,0.0,70.0,,,,,,,,,,,,
S00161,Jill Valdez,2014-12-07,Grade 2,795.872.7881x0527,10.0,0.0,0.0,82.0,,,,,,,,,,,,
S00162,Robert Baxter,2017-10-11,Grade 3,001-863-830-8594x551,8.0,0.0,0.0,76.0,,,,,,,,,,,,
S00163,Ryan Gordon,,Grade 1,(773)740-2829,13.0,1.0,1.0,64.0,,,,,,,,,,,,
S00164,Angela Gregory,2012-01-06,Grade 2,001-891-678-9593x0460,13.0,0.0,0.0,70.0,,,,,,,,,,,,
S00165,Christina Parker,2008-04-11,Grade 4,+1-977-523-3238x06614,17.0,0.0,1.0,96.0,,,,,,,,,,,,
S00166,Melissa Williams,,Grade 5,(469)300-5323x87878,13.0,0.0,1.0,45.0,,,,,,,,,,,,
S00167,Mrs. Jody Campbell,2016-08-17,Grade 5,001-686-784-4423x112,9.0,0.0,1.0,77.0,,,,,,,,,,,,
S00168,Abigail Ochoa,2018-10-25,Grade 1,(368)454-1821x04368,7.0,0.0,1.0,70.0,,,,,,,,,,,,
S00169,Susan Lloyd,,Grade 3,001-274-287-3477x95645,13.0,1.0,0.0,70.0,,,,,,,,,,,,
S00170,Krista Stewart,2014-03-16,Grade 5,(896)209-8455x29533,11.0,0.0,1.0,56.0,,,,,,,,,,,,
S00171,James Davila,2017-10-29,Grade 2,(688)489-9712x0262,8.0,0.0,0.0,70.0,,,,,,,,,,,,
S00172,Julia Barnes,2008-09-07,Grade 2,(601)455-2938x238,17.0,0.0,0.0,88.0,,,,,,,,,,,,
S00173,Gregory Santos,2013-08-20,Grade 3,(241)669-8148x705,12.0,0.0,1.0,40.0,,,,,,,,,,,,
S00174,Michael Smith,2015-12-24,Grade 2,681.424.0282,9.0,0.0,1.0,45.0,,,,,,,,,,,,
S00175,Cynthia Torres MD,2007-03-31,Grade 4,800-949-7526,18.0,0.0,1.0,80.0,,,,,,,,,,,,
S00176,Tyler Adams,2010-10-29,Grade 3,667.534.7289x3502,15.0,0.0,0.0,50.0,,,,,,,,,,,,
S00177,rachel morgan,,Grade 1,270-747-7816,13.0,0.0,0.0,78.0,,,,,,,,,,,,
S00178,Jessica Roberson,2013-08-02,Grade 1,(260)676-8371x68947,12.0,0.0,1.0,99.0,,,,,,,,,,,,
S00179,Christopher Carter,2018-09-03,Grade 3,(510)575-9055,7.0,0.0,1.0,79.0,,,,,,,,,,,,
S00180,Carla Allen,2016-07-19,Grade 5,531.749.0576x22563,9.0,0.0,0.0,52.0,,,,,,,,,,,,
S00181,Gregory Davis,,Grade 4,001-303-803-6153x296,13.0,0.0,0.0,63.0,,,,,,,,,,,,
S00182,Jimmy Mcintosh,2012-10-28,Grade 1,+1-435-633-7347x300,13.0,0.0,0.0,88.0,,,,,,,,,,,,
S00183,John Tyler,,Grade 2,561.396.9968x990,13.0,0.0,0.0,52.0,,,,,,,,,,,,
S00184,Mathew Thomas,,Grade 5,546.917.5688,13.0,0.0,0.0,49.0,,,,,,,,,,,,
S00185,Roy Booth,2012-07-16,Grade 2,+1-903-789-9676x5480,13.0,0.0,1.0,49.0,,,,,,,,,,,,
S00186,Holly Moore,2012-01-04,Grade 5,718-580-3296x7478,13.0,0.0,1.0,61.0,,,,,,,,,,,,
S00187,John Williams,2018-07-17,Grade 4,828-813-7149,7.0,0.0,1.0,99.0,,,,,,,,,,,,
S00188,Jeffrey Barnes,2007-10-24,Grade 2,001-945-460-9376x3464,18.0,0.0,1.0,47.0,,,,,,,,,,,,
S00189,Morgan Diaz,2018-03-02,Grade 2,520-367-1169,7.0,1.0,1.0,95.0,,,,,,,,,,,,
S00190,Daniel Baxter,2011-12-04,Grade 5,234-764-3911x11140,13.0,1.0,1.0,100.0,,,,,,,,,,,,
S00191,Samantha Jackson,2018-07-30,Grade 2,+1-790-429-5919,7.0,0.0,0.0,63.0,,,,,,,,,,,,
S00192,Christy Frazier,2011-12-19,Grade 2,(970)453-3104x56607,13.0,0.0,0.0,79.0,,,,,,,,,,,,
S00193,Molly Davis,2014-08-05,Grade 4,5124777785,11.0,0.0,0.0,94.0,,,,,,,,,,,,
S00194,barbara frederick,2018-05-22,Grade 4,(706)342-9995x1816,7.0,0.0,1.0,96.0,,,,,,,,,,,,
S00195,Rita Sosa,2017-01-05,Grade 4,+1-518-233-3212x61085,8.0,0.0,1.0,70.0,,,,,,,,,,,,
S00196,Anna Good,2011-12-07,Grade 3,679.646.8286,13.0,1.0,0.0,43.0,,,,,,,,,,,,
S00197,John Mclaughlin,2014-05-25,Grade 2,(343)333-2472x10828,11.0,1.0,1.0,70.0,,,,,,,,,,,,
S00198,Haley Young,,Grade 5,001-704-518-1533x29368,13.0,1.0,0.0,99.0,,,,,,,,,,,,
S00199,Renee Hunt,2012-10-06,Grade 3,+1-594-219-9144x5443,13.0,0.0,0.0,57.0,,,,,,,,,,,,
S00200,Daniel Stewart,2012-02-17,Grade 4,001-305-566-2294x5737,13.0,0.0,1.0,57.0,,,,,,,,,,,,
S00201,Thomas Pugh,2013-02-16,Grade 5,001-264-519-1497x5267,12.0,0.0,1.0,84.0,,,,,,,,,,,,
S00202,Laura Smith,2007-04-28,Grade 5,001-645-566-2214,18.0,1.0,0.0,67.0,,,,,,,,,,,,
S00203,Andrew Shepard,2012-01-07,Grade 1,001-557-429-5075x77641,13.0,1.0,0.0,70.0,,,,,,,,,,,,
S00204,April Mann,,Grade 4,207-833-3085x876,13.0,0.0,1.0,74.0,,,,,,,,,,,,
S00205,Danielle Carter,2010-04-23,Grade 3,(433)366-0330x826,15.0,0.0,0.0,47.0,,,,,,,,,,,,
S00206,suzanne gilbert,2007-07-28,Grade 1,206-978-0922x211,18.0,0.0,1.0,78.0,,,,,,,,,,,,
S00207,Samantha Phillips,2018-06-23,Grade 5,2649115307,7.0,1.0,1.0,76.0,,,,,,,,,,,,
S00208,Troy Dudley,2014-02-02,Grade 4,503-749-2823x815,11.0,0.0,1.0,55.0,,,,,,,,,,,,
S00209,Daniel Bennett,2010-04-17,Grade 4,721-981-9285,15.0,0.0,1.0,50.0,,,,,,,,,,,,
S00210,Brenda Butler,2011-07-25,Grade 4,+1-523-771-7577x9540,14.0,0.0,0.0,63.0,,,,,,,,,,,,
S00211,Jessica West,2013-07-11,Grade 5,893-397-0073x2346,12.0,1.0,1.0,100.0,,,,,,,,,,,,
S00212,Kristin Drake,2008-10-22,Grade 1,unknown,17.0,0.0,1.0,42.0,,,,,,,,,,,,
S00213,William Patterson,,Grade 5,649-445-1660,13.0,0.0,1.0,70.0,,,,,,,,,,,,
S00214,Allison Cruz,2016-01-01,Grade 2,805.208.5816,9.0,0.0,1.0,94.0,,,,,,,,,,,,
S00215,Marie Carter,,Grade 2,001-727-486-8639x877,13.0,1.0,0.0,66.0,,,,,,,,,,,,
S00216,Stephen Vaughn,2017-10-25,Grade 3,(658)363-4611x8929,8.0,1.0,1.0,44.0,,,,,,,,,,,,
S00217,Donna Taylor,2015-09-22,Grade 4,321.887.8509x8401,10.0,0.0,0.0,48.0,,,,,,,,,,,,
S00218,Lisa Cooley,2015-12-02,Grade 1,001-272-535-1555,9.0,0.0,0.0,78.0,,,,,,,,,,,,
S00219,Jonathan Ward,2014-01-01,Grade 1,001-375-505-5283x749,11.0,1.0,0.0,70.0,,,,,,,,,,,,
S00220,Wanda Sanchez,2007-08-31,Grade 1,001-714-469-7556x5445,18.0,0.0,0.0,67.0,,,,,,,,,,,,
S00221,christopher maynard,2016-08-22,Grade 3,6376071193,9.0,0.0,0.0,55.0,,,,,,,,,,,,
S00222,Juan Richard,,Grade 3,810-839-3427,13.0,0.0,1.0,100.0,,,,,,,,,,,,
